user_id,category_id,ads
32,362,"[2155129, 430569, 2192663, 2451503, 2415961, 1917466, 1860175, 1904697, 2546798, 976825]"
42,362,"[2684942, 2680584, 1642256, 2230578, 2687448, 2687448, 2011417, 1642256, 2023961, 2078156]"
66,362,"[1635665, 1635665, 2833390, 2833390, 2833390, 2714176, 2849101, 2835906, 2833277, 2069503]"
182,362,"[2297932, 1524344, 219720, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736]"
191,362,"[1937355, 1704736, 2806363, 2377472, 44852, 5073, 384321, 1564248, 2826893, 2720377]"
196,362,"[2441605, 1101916, 1509216, 2617331, 563696, 336494, 2757104, 2836886, 2853312, 2560201]"
205,362,"[2800593, 2376286, 2314777, 1958684, 2155129, 2828517, 1958684, 2376286, 2609260, 2811185]"
253,362,"[1804380, 378873, 1712278, 2179926, 2606976, 2653268, 2622006, 2604418, 2599010, 2480008]"
269,362,"[2776180, 1584381, 1584381, 2776180, 2776180, 1275454, 2545960, 2696406, 2268784, 1898563]"
284,362,"[2844620, 2521057, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159]"
287,362,"[1704736, 2598159, 2853312, 333573, 2560201, 2806018, 2449079, 2836886, 2757104, 2661821]"
336,362,"[2365892, 63251, 2270327, 2581704, 2383012, 846402, 2383012, 2383012, 2591888, 2540601]"
344,362,"[2500859, 1536662, 1235085, 2714315, 2155129, 2500859, 2714315, 733040, 2022549, 333573]"
357,362,"[1979138, 1653741, 1658559, 2833119, 595027, 2822617, 2511735, 2710528, 2711089, 1202002]"
358,362,"[2648967, 754949, 2648967, 2648967, 2762188, 1516103, 1516103, 2191097, 2850873, 2483973]"
395,362,"[2059105, 1539821, 2766753, 2419040, 2059105, 2766753, 2059105, 2766753, 2567261, 2053432]"
426,362,"[2813985, 2757104, 2836886, 2853312, 2560201, 2449079, 2806018, 1704736, 2598159, 333573]"
523,362,"[2624233, 1136253, 592791, 1774084, 1964846, 2668259, 2753095, 2801252, 952338, 2261566]"
